,log2exp,logFC,pval,FDR
Hsp90b1,12.6025007321184,5.07654476317736,9.0852432545268e-128,4.15634214682094e-125
Slk,10.0553671777868,4.99252331258545,1.38536459180038e-226,6.12654401313855e-223
Tax1bp1,9.99421591852269,4.73863655563538,3.90409401987525e-262,5.17956153616849e-258
Ddx46,9.60019684998098,4.68353885648528,7.37828110562936e-225,2.4471913857096197e-221
Ptprc,11.9309092673646,4.61749794755702,2.82578371825933e-134,1.56206969125611e-131
Tpr,9.47767395501349,4.5931260945202,1.88958834650689e-220,4.17819476551783e-217
Rgs1,9.1688113811316,4.29544949805981,3.80182811394712e-158,4.20323779897804e-155
Rbm25,8.96309676723081,4.28732706902183,4.978920199894099e-209,9.43647632742786e-206
Eif5b,9.54741673152786,4.25507766433533,1.6300912088246098e-234,1.0813210033738099e-230
Clec7a,13.9666274888189,4.18561595051046,5.07569321808696e-69,4.4892814616239805e-67
AI504432,11.0498674525636,4.08960633756786,8.79197373444828e-150,7.29019472093284e-147
Lrrfip1,12.4522054844004,4.0796372445713,2.62443418375974e-165,3.16530621054004e-162
Npm1,10.7305703798255,4.05339038305302,1.0755980088672401e-67,9.03161948331754e-66
Alas2,11.8195027623229,-4.05122472552864,0.0001568037722595,0.0003612913592509
Gypa,8.97616630318921,-4.0108388838751,1.67507136975424e-06,4.7132920175036e-06
Eea1,8.79190901073953,3.99607688155342,4.55004892930709e-138,2.87454757833892e-135
Kif5b,8.90974727388858,3.91886907107657,4.44389440288483e-102,1.03433591303637e-99
Baz1a,11.3046048374642,3.91805183955491,3.3967253360571596e-222,9.012871006694071e-219
Smc6,8.71843773972833,3.72964151952426,1.06193449115116e-147,7.827047163390221e-145
Eif3e,10.4417698500315,3.68950967292457,6.8730975452801104e-46,2.65846603886972e-44
Rock2,8.25351923419741,3.63217978756086,3.09752444554057e-136,1.86794803722667e-133
Shtn1,10.9883493758313,3.60205741388197,1.4851490335234202e-148,1.15902777810325e-145
Anxa1,12.4654264619316,3.59660103453221,8.56790628500054e-73,8.61139490023501e-71
Cast,10.5793814178951,3.57031152838493,1.9023465311932303e-198,3.15480392866757e-195
Plek,11.9765641234153,3.55695176713476,3.09890348985401e-43,1.07065501562222e-41
Smc1a,8.50332885662666,3.54798200773247,1.90876979496872e-133,1.012945954794e-130
Zeb2,10.0571926358116,3.54304767777922,3.19816678061529e-153,3.03071990560165e-150
Calm1,12.7138056409278,3.51503979924851,5.59335066310068e-109,1.51442822953789e-106
Eif5,10.9475963552421,3.49507517618875,2.90317256806479e-100,6.212321042018631e-98
Clec2d,13.8189746070081,-3.47542401265559,2.23313393407783e-44,8.09480543809032e-43
Pnn,8.33275143857331,3.46608099056248,1.1322826873572902e-117,4.05999849004572e-115
Phip,8.1839799221194,3.46360535157158,1.27900193611421e-100,2.7817243748241402e-98
Ncl,9.98351817488168,3.4389071371203,4.94207673933253e-53,2.56119266018456e-51
Eprs,8.89387030478509,3.43442291579177,2.13076936770231e-43,7.419663307429529e-42
Smc4,8.49274337407523,3.43236806063325,8.71829364726549e-131,4.28391117845449e-128
Cxcl9,8.60455322907904,3.4225707156803,3.1373605332257605e-09,1.14067860220077e-08
Ppig,8.2871351860867,3.42038404284503,6.96625418239172e-101,1.54035490396318e-98
Cntrl,8.19841093478347,3.40293450214912,5.1084948169734805e-121,1.99336472755256e-118
Otud6b,8.55533473339492,3.40208937459626,2.67307780111183e-97,5.29309301303742e-95
Caprin1,11.5161822162701,3.38838452579801,2.61767620488826e-118,9.646863947292359e-116
Cwf19l2,8.59310577192997,3.38710177171953,4.32774154697835e-84,6.59955713836342e-82
Atad2,8.1931146288142,3.38079257043662,1.1781159754654001e-92,2.11217089817561e-90
Mki67,8.03529551506444,3.36533437559675,1.6803264247379e-99,3.5385540757139203e-97
Hist1h3d,12.1638134425852,-3.36252653499423,6.9156603302659e-14,3.7976020530479197e-13
LOC108168816,8.33321748054214,-3.36095868268034,3.1111028955922896e-70,2.78885149431236e-68
Capza2,11.5736537614387,3.35813117782301,1.74751588960297e-74,1.91605729812914e-72
Ddx3y,9.03288755097134,3.3458212898233,2.78138064039868e-72,2.7537743997141298e-70
Slc4a1,8.57695666470609,-3.31586701172335,5.08678940081807e-05,0.0001233530158666
Tmsb4x,16.7565335196314,3.30988477761538,5.46013255244285e-22,5.6637668939217606e-21
Mtdh,9.71256282376941,3.30552329708972,7.696998347746339e-126,3.29406700256615e-123
Samsn1,9.40959718906699,3.30446210689266,2.31285154540744e-144,1.53423007264603e-141
Sptbn1,10.4076218432846,3.29641603815184,2.95684943927267e-53,1.56914086043322e-51
Hist1h4i,10.8433322362176,-3.26355804755925,3.6828286011569295e-42,1.2245635852518498e-40
Scfd1,8.26821707630134,3.26185612073006,3.2938678749191903e-111,9.711054465900651e-109
Skil,10.1597312080773,3.26159426470551,4.47813373515303e-171,6.60126669603058e-168
Camsap2,7.95714235776179,3.24733259847464,1.1640392037469301e-63,8.48533412973106e-62
Hspa4,9.81274555231447,3.24449377405654,6.504117337618241e-145,4.54158551148322e-142
Stk17b,10.6796877896339,3.23077467215409,3.8351463889723395e-77,4.4244249689127e-75
Tmed5,9.33588655247728,3.22895614289646,3.7164892008416697e-168,4.93066622275665e-165
Ddx3x,11.0360447947454,3.21656039070361,7.38144559110955e-49,3.18989051000816e-47
Rpl4,13.5385282954953,3.20244158157885,4.42846188284219e-68,3.74219132481957e-66
Ipo7,8.49918150989399,3.18694430832908,1.36057487733609e-72,1.35719901485848e-70
Dnttip2,7.92538959811825,3.18616161172806,2.2832452876345003e-112,7.04460819326672e-110
Chm,8.40912571046531,3.18497578130706,1.76446601283462e-62,1.25182730439984e-60
Tmf1,8.37991981764654,3.18323123076726,6.52796046329639e-96,1.23723502095076e-93
Csde1,10.5065348699079,3.17018594454281,1.52639968025765e-71,1.47815653707871e-69
Yme1l1,9.32405550262812,3.16874241697415,3.2557383498888802e-52,1.61774834037363e-50
Dock10,10.0313853166069,3.16730433782905,2.0722352966384802e-111,6.24826038193244e-109
Calm2,12.91580159168,3.15943222618396,2.9245120232853897e-41,9.216033494757069e-40
Gbp7,8.16591891574024,3.1408702279093,2.1868125109917698e-79,2.6616918883787e-77
Nop58,8.16179672748308,3.13857097277949,4.30736188007922e-114,1.3606135729288302e-111
Utp14a,8.40809381353205,3.13626321650645,1.15176542001909e-114,3.72694434814469e-112
Ccnl1,10.2048258348741,3.13447294704789,1.88371788826171e-83,2.74629507951298e-81
Cttnbp2nl,11.134158891996,3.13127731549601,2.91350329740397e-54,1.61056034361077e-52
Stag2,8.51268560226386,3.10089851882977,1.04497787281199e-80,1.37264568698978e-78
Top1,9.3726232608929,3.10077237891568,2.2734645796352802e-110,6.55696838652636e-108
Tbc1d15,10.2915944135704,3.09076517879368,2.2624542402912101e-60,1.4859396240566101e-58
Hook3,8.04025166272483,3.08706225050481,5.54176859661439e-80,6.936098487856889e-78
Abcd2,10.1132718969846,3.07769138813148,7.2292372637195e-82,9.990655289350689e-80
Rlim,8.95637615724967,3.07432340370008,7.10532936835016e-57,4.2083216397277495e-55
Golga5,8.11872482524639,3.07224672137836,1.8360705626014297e-83,2.7065720171148e-81
Usp9x,9.76453759489228,3.06702195365993,1.92680109120266e-58,1.19452663911148e-56
Slu7,9.48567559636963,3.06691189550688,4.12627841355364e-51,1.99793196031446e-49
Sptan1,10.842765001891,3.06547847972005,8.616959425695049e-57,5.05846020799541e-55
Ankrd17,8.3453128343909,3.06361019137974,1.66177417782697e-77,1.96846053725272e-75
1700109H08Rik,9.07108987151614,-3.05608762420778,9.74475795101006e-22,9.89921161838059e-21
Hist2h4,13.5078557076566,-3.05275604481575,9.77373171767918e-22,9.92104810240625e-21
Psma4,10.5397915750534,3.0325050092336,5.02718561156799e-130,2.38198826816688e-127
Zfp608,9.24423167783183,3.01290272318147,3.14694285012004e-53,1.66336616703357e-51
Tlr8,10.752247057494,2.99775516170226,2.42297133265969e-106,6.303051111842371e-104
Ncor1,10.1996467866621,2.98532796578841,5.124663436372969e-158,5.22991613925848e-155
Dnajc3,8.63185912728278,2.96802736890184,2.4084004650428398e-82,3.36339462839193e-80
Bpifb1,9.12797641431377,-2.96589505474098,4.12946278695945e-71,3.83115963598539e-69
Son,10.1052719706267,2.96287761269162,1.41856213134422e-101,3.24483858561099e-99
Cdc5l,9.48352190232584,2.95802996918986,4.1201827536278405e-61,2.76073053496872e-59
Ptpn12,11.4407358188311,2.95696189736485,9.84232931883932e-99,2.00889512420064e-96
4930404H24Rik,7.8238979353036,-2.95684137089682,5.28063920473726e-26,7.25240583118523e-25
Pde4dip,9.7982917792595,2.95652987413984,2.51532837837921e-30,4.39090284157329e-29
Kmt2c,9.09563510790353,2.95498977649145,6.37703872220062e-115,2.11510431818589e-112
Pum2,9.67481753592677,2.95456754381606,4.51784399718777e-53,2.35776487745219e-51
Cbr2,9.72818035065964,-2.95438013660151,9.83953302419483e-61,6.49458132497477e-59
Mbnl1,11.1754239322183,2.9470731588489,2.13746542298396e-104,5.25143588272743e-102
Cep170,8.6185894311643,2.94202178574031,4.53177088829658e-53,2.35776487745219e-51
Usp15,9.26271476296386,2.93717248234154,2.77738624063174e-115,9.44809827037471e-113
Supt16,8.11468224455324,2.93592162547411,2.65825165038729e-110,7.50362226504002e-108
Snap23,9.94044615421357,2.91762263925567,7.75837902884526e-150,6.86202763837934e-147
Nucb2,9.55673222308452,2.90132962041751,1.90074829900469e-25,2.5041934143888e-24
Sec63,8.75284520783235,2.89867306460713,4.6330253277919206e-120,1.7561813435375803e-117
Prpf40a,7.8205335636314,2.89866194224124,2.1985243292332296e-92,3.83787135209701e-90
Hist4h4,11.1973532279174,-2.89753455907024,6.5208269912704e-25,8.31844343203696e-24
Cul3,8.0802623673133,2.89696039248747,1.7427146458573802e-97,3.50312048584695e-95
Taok3,9.77916075206176,2.89019489184878,1.26686202192548e-29,2.1248367186959997e-28
Hist1h1d,14.2452793113635,-2.88674302063046,2.9852790939544e-54,1.6433899476968101e-52
Itgb1,10.9904388672925,2.88381947353848,1.9805554477471e-82,2.79532224736817e-80
Pik3r1,9.11111755309462,2.88248998279511,2.2593245415893e-74,2.4569228437102697e-72
Hnrnph1,10.2849847119744,2.87248200903773,1.40980233747156e-104,3.5290278511764598e-102
Hist1h2ac,12.8233022717468,-2.86282915299897,4.72448883019606e-42,1.55919883856247e-40
Setd2,9.1154230286378,2.83758365106614,1.73544370232291e-123,7.19504112459937e-121
Hnrnpu,10.7826683837625,2.82497243590681,5.537799038626011e-60,3.60146960026722e-58
Tgfbr1,9.59573664230273,2.8232306386663,1.62167651930241e-29,2.7096703251366697e-28
Rad21,9.65442470019162,2.81587409978561,8.81123090491619e-82,1.20514021046931e-79
Taf1d,8.61363601076389,2.81528168580074,8.86257447407594e-97,1.70405471808066e-94
Aff4,7.98200324321149,2.81461791905965,8.319577298789851e-76,9.353884069749571e-74
Top2a,9.07881794996198,2.81185225748013,1.09032241093259e-106,2.89306148516854e-104
Cab39,11.1308073818708,2.81021490523973,4.54341462473948e-71,4.1859362379457397e-69
Gm7854,8.49746378471776,-2.80853590596919,7.33343601739196e-30,1.24574514267272e-28
Slc9a4,9.35024859944484,2.79830736712046,9.86634513626661e-25,1.24426616846815e-23
Fosb,10.1485383702903,2.79333662915197,1.04425979355962e-39,3.03155244664234e-38
Cox7b,12.0964086132746,2.7877663000081,2.0830510607519897e-30,3.67497851369637e-29
Golim4,7.58031091777433,2.78219050146477,9.91978602928387e-69,8.658276398059811e-67
Spp1,12.0648082450653,2.78129666096948,1.33285155654308e-134,7.68823547854655e-132
Clock,8.21768848811508,2.77975633389819,3.00955862684945e-104,7.25960260043849e-102
Pnpla8,10.2086323420132,2.77874621917383,6.368773479594439e-116,2.2235399408889302e-113
Atrx,7.66103577975155,2.76587034598799,1.21385985624425e-64,9.4177068495862e-63
Nsrp1,7.93827272109352,2.7642230097484,2.30971295976968e-50,1.07519164341278e-48
Snca,8.83679553747327,-2.76177753934374,0.000338443687859,0.0007491045056432
Prpf38b,8.63135392004253,2.75405257382736,1.06792839725573e-49,4.8027817106412896e-48
Srp72,8.61419859458263,2.75197653507346,3.77746054368758e-53,1.98085253095269e-51
Specc1,9.54057205032126,2.74218807406513,1.6082334487058e-87,2.57065459806987e-85
Kirrel3os,8.56576322820044,-2.73247245259047,1.59568309535616e-40,4.8443770311419e-39
Asap1,8.88340698638837,2.72954314205744,1.30046881234239e-66,1.07163476604637e-64
Smc3,8.26629853370825,2.72846663929701,2.30696811917277e-76,2.63849534802286e-74
Mrc1,13.1984983315084,2.72812098767781,1.470393482053e-18,1.18443899978125e-17
Far1,9.79892175745398,2.72570688822017,1.96110584189488e-19,1.68728866435923e-18
Rnf169,10.4132753211669,-2.72078979557996,5.35842926995507e-20,4.79691505563387e-19
Gpbp1,8.08129849378831,2.71954252221407,6.37266647451059e-78,7.61677172228216e-76
Syne2,9.25008453784582,2.71834526070101,2.0569577887972e-37,5.3825757364837196e-36
Cops2,7.65095199902252,2.71612756126453,5.91734466627881e-75,6.542117640626751e-73
Eif3m,11.0169630085877,2.70912702768755,2.68233583533152e-39,7.66951498434123e-38
Eif2a,8.89595389281217,2.68532051162846,4.73589484380664e-101,1.06493418462344e-98
Cul1,9.35484624838805,2.68326538794341,3.1708271619870296e-126,1.4022454652693999e-123
Zranb2,8.92179962219195,2.67045134538506,8.400123908409179e-36,2.05238386543029e-34
Sept7,8.69038605347717,2.67003237174936,2.6376266631595002e-77,3.06959587194185e-75
Bdp1,7.43763649491189,2.66864083297593,1.24600570443248e-50,5.820689324192139e-49
Ccng1,9.09660535616732,2.66006214488347,2.39235268605331e-52,1.19320838668682e-50
Tmx1,9.52033220824029,2.64132698133932,1.8693385819767103e-132,9.538659602725e-130
Eif4a2,11.3750281149823,2.63975568901914,7.15176828439459e-19,5.89698631628733e-18
Atf3,10.3236881232146,2.63902331774901,3.96465821755374e-71,3.70416342058348e-69
Wapl,8.23248755051262,2.63802252988351,3.05413659702342e-86,4.82371788484639e-84
Snx5,10.4621543092613,2.63423350686151,8.3457042943286e-40,2.4334606345683e-38
Ccdc93,8.51435791092899,2.63399413253598,4.9106704211677095e-36,1.21775447621742e-34
Prpf18,8.59900880888483,2.6338807054744,3.01889775273017e-64,2.26280884098707e-62
Dnajc10,8.66651990989906,2.62609052868079,2.22336693738426e-57,1.3407913253762199e-55
Casp1,8.26756700868304,2.62486357366466,4.72890098067625e-32,9.32218860484872e-31
Nipbl,9.28115729258191,2.61291641327994,3.8500295162823898e-56,2.23049526604884e-54
Cd36,10.5805988103338,2.61234975173939,2.00625537400114e-78,2.41972636789756e-76
Naca,11.3525071097211,2.60585965902085,1.1524150119768e-30,2.08298228390957e-29
Rbm39,10.5498581856685,2.60459710706815,9.84218231885476e-105,2.51108140046627e-102
Actr2,11.9187053924703,2.5959963503312,1.4578116900953e-47,6.0064558051224804e-46
LOC108167732,7.61511871333741,2.59358147637063,1.69490364036589e-53,9.06705104707028e-52
Atp13a3,10.7535765886359,2.59093895815111,2.11971680032255e-41,6.7117620023578095e-40
Itga4,9.77649015055897,2.58954029548976,3.86559965321747e-99,8.013267281130651e-97
Fnbp1,10.5858558204663,2.58736846503571,1.78181835814177e-29,2.96604569102469e-28
Sh3bgrl,10.7466659351766,2.5851140044916,1.77323100622623e-79,2.17828294070402e-77
Lepr,10.1772118812719,2.58449217067486,2.18360905770588e-32,4.38938505584606e-31
Pds5a,9.84278682272034,2.57708645468879,2.24495851648156e-121,9.025413526715409e-119
Pnisr,8.12124569787955,2.5736700313743,1.66905493913331e-25,2.21212306468348e-24
Trps1,8.38616188272605,2.5696187988846,3.6440758913615597e-22,3.82786657566855e-21
Zfp638,7.36170013698031,2.56661489075594,2.37659762985862e-62,1.6771447210284202e-60
Fam111a,8.32770856897098,2.56588641693545,2.5822795741079702e-54,1.43343527655608e-52
Abce1,8.92786024898046,2.55813499070175,2.8672179952729103e-35,6.74457112469605e-34
Krr1,7.65925265659834,2.55521005201633,1.40616706718402e-64,1.08462898141456e-62
Syncrip,9.61925200109916,2.55164559647042,4.80295646549549e-74,5.18055475022184e-72
Serpinb6a,10.5294373326929,2.54672331725522,7.87519116179045e-21,7.516558355645601e-20
Fmr1,8.5318958433885,2.5443870459978,6.7321504851752e-50,3.05874796187738e-48
Hist2h2ab,8.89847542634035,-2.53462712589908,6.74141863294717e-42,2.1761168127326e-40
Nono,10.7213543822312,2.53340861992821,4.42850038034526e-57,2.6465276822540797e-55
Gpx3,8.10328780841202,-2.53295532706696,8.412141801682759e-11,3.5429804851722303e-10
Hnrnpdl,10.9613793506483,2.53279264956386,4.91065303470575e-51,2.3519723397632197e-49
Rsrc2,7.49690924325917,2.5257856639162,1.65884031591591e-64,1.27212916018823e-62
Asph,14.4896293505527,-2.51829104942954,1.86209804875403e-25,2.45571121399799e-24
Emc2,9.27411926938386,2.51801302024203,1.67532764371794e-95,3.13050307735294e-93
Sp140,7.82791603356628,2.51409099035553,3.95002474178666e-65,3.11934394340974e-63
Rfc1,8.56689969765655,2.51386397234186,2.64707654516292e-20,2.42532904175942e-19
Aim2,7.74856559085,2.51194248909945,1.7784109076907798e-42,6.00360750949964e-41
Esyt2,9.48294797390904,2.50663842493744,2.7585265425128797e-83,3.93520125156111e-81
Hdlbp,10.3091605205158,2.50123087088682,4.17030686367491e-39,1.17969000341951e-37
Tmod3,9.41456779553356,2.49998894251157,1.2315798927526702e-35,2.96540298314877e-34
Itsn2,10.4694015741564,2.49976933459609,7.51779887724979e-94,1.38525885700657e-91
Prrc2c,9.23782406777356,2.49854177138513,1.2959644334850299e-70,1.1696299414317e-68
Rgs2,10.4074374379619,2.4944355922076,1.4664298940629999e-30,2.62198455586709e-29
Inmt,7.77167286682378,-2.49389967046593,7.91413261149148e-12,3.6394037212013e-11
Ssb,8.87231148909061,2.49328815159848,7.51691144907177e-59,4.7716202964035995e-57
Phf20l1,8.00218993109082,2.48893627277495,3.45597433977547e-57,2.0746792563710898e-55
Bclaf1,7.45812176022538,2.48505260824096,6.784249428350071e-51,3.20628639737707e-49
Hist1h3a,10.4127168490817,-2.48391906432644,1.66599837474899e-73,1.7133953827748e-71
Srrm2,11.4215425593101,2.48144811580615,2.15786058581778e-48,9.205252859178271e-47
Sugt1,8.6598720463782,2.47778155281569,3.8476523168846894e-18,3.01695054894262e-17
Gabpa,8.21613955642514,2.46918493126328,2.92542892006219e-31,5.489627366685309e-30
Serbp1,12.3645982691647,2.46372347599151,4.1619421195286694e-62,2.92150720104692e-60
Appl1,7.74986942739684,2.46310860397545,2.3001933110939497e-36,5.79063845508224e-35
Arcn1,10.517785562286,2.46301438157573,1.42130225000715e-85,2.1926066221912698e-83
Rad50,7.68309208613439,2.46114944531236,7.737381617583451e-53,3.97875356280929e-51
Kdm5a,8.34875888616008,2.45964792051599,2.05879402897793e-57,1.24721554257764e-55
Anp32a,10.7291486420269,2.45688813737201,5.468980447047489e-28,8.43685623150919e-27
Sp3,8.01696300858765,2.45264371673573,7.76867666635011e-36,1.90512076400124e-34
Ddx5,12.3792598976651,2.45089870108604,1.4135698480638801e-73,1.46514306048934e-71
Nsd1,9.2496402240718,2.44947088593671,5.9567814347382e-42,1.93224008055432e-40
Wdr6,8.98398322683487,-2.44603680852932,4.93147305657617e-80,6.23103362300915e-78
Golga4,7.57637936625899,2.44576792666368,2.0612346976513298e-43,7.215409164575249e-42
Cux1,9.31758533989987,2.44277186231341,2.91616072116059e-49,1.28533901287833e-47
Arhgap5,7.31363888668278,2.43731087045517,2.16177953441001e-59,1.38552314410713e-57
Fam21,9.44891930032434,2.43300977045272,2.76954300021443e-64,2.08770039680937e-62
Usp34,8.34952697170284,2.43242679901454,7.06443899004937e-50,3.19876833040904e-48
Canx,11.3537403199624,2.43193536457604,1.37341422007203e-63,9.95687784573535e-62
Cacybp,9.56810126688551,2.43132320199014,1.50102165561771e-93,2.7279526445315204e-91
Jak2,7.58548421447974,2.4279348090735,8.87596442269292e-66,7.18033048755286e-64
Gpcpd1,11.0268980150852,2.42528692061028,1.4343152291408198e-79,1.77841683598236e-77
Cfap36,7.23548242077689,2.42409007344325,1.61731259210269e-52,8.09693817336847e-51
Fam46c,8.11385066791371,-2.42391359893219,0.0001778632786945,0.0004070574639365
Abracl,10.7015170502187,2.42167025539244,2.79134591139053e-102,6.61299753686038e-100
Kdm7a,7.68109196757721,2.41834210718884,5.172251296654999e-50,2.37440338936754e-48
Hist1h2ak,14.1520702339096,-2.41793928459428,1.57124820901416e-18,1.25956193286954e-17
Rbm28,8.71750983147943,2.41195128200423,1.78079820917061e-36,4.52602487376754e-35
Lin7c,9.68620869041862,2.40744145642477,6.298594343271561e-76,7.14217531215246e-74
Gm44505,9.86229295673575,2.40585574959918,2.0725667211685702e-91,3.52522342176198e-89
Aftph,9.81173146508292,2.40445902061006,4.4344836183749005e-55,2.49289382054999e-53
Mfap4,7.20157941060102,-2.40313495488302,6.31012084184204e-07,1.8464131717847e-06
C530008M17Rik,9.64187613529082,2.39822088032549,1.60145896152334e-71,1.53960551032827e-69
Nck1,9.15279537191436,2.39664158252385,2.1952008927659e-49,9.740378008135519e-48
Cetn3,8.78919398751361,2.39273221402412,6.36737855348896e-30,1.0858099134850599e-28
Clec4e,8.43890733747253,2.3921507542886,3.72983629998469e-30,6.43481640986956e-29
Fgfr1op2,9.03836652087911,2.39132605321946,1.55599434794374e-92,2.75245026855594e-90
Cd48,9.19434647323874,2.39017878396034,7.99610487816696e-52,3.91455067965465e-50
